title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area,House,BHK
3 BHK House for Rent in Aluva Kochi,6500.0,Semi-Furnished,2.0,Bachelors/Family,Ground out of 1,Immediately,,House,3
2 BHK Builder Floor for Rent in Vennala Kochi,20000.0,Unfurnished,2.0,Bachelors,1 out of 1,Immediately,1100.0,Builder Floor,2
2 BHK Apartment for Rent in nanma one cochin Kochi,30000.0,Unfurnished,2.0,Bachelors,12 out of 26,Immediately,850.0,Apartment,2
4 BHK House for Rent in Kerala Kochi,38000.0,Furnished,4.0,Family,1 out of 2,Immediately,,House,4
3 BHK Builder Floor for Rent in Edappally Kochi,26000.0,Unfurnished,3.0,Bachelors,Ground out of 2,Immediately,1500.0,Builder Floor,3
2 BHK House for Rent in Kangarappady Kochi,20000.0,Semi-Furnished,3.0,Family,,Immediately,,House,2
4 BHK House for Rent in Edappally Kochi,55000.0,Furnished,4.0,Bachelors,,Immediately,2300.0,House,4
"1 BHK Apartment for Rent in Earthspace Transit, earthspace apartment Kochi",15000.0,Furnished,1.0,Bachelors/Family,4 out of 8,Immediately,750.0,Apartment,1
2 BHK House for Rent in Cheranalloor Kochi,26000.0,Furnished,2.0,Bachelors/Family,,Immediately,600.0,House,2
2 BHK Builder Floor for Rent in Aerambakkal Kochi,12000.0,Semi-Furnished,1.0,Bachelors/Family,2 out of 2,Immediately,900.0,Builder Floor,2
2 BHK House for Rent in Vyttila Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,1 out of 2,Immediately,,House,2
3 BHK House for Rent in near KSRTC bus stand Kochi,23000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,1500.0,House,3
1 BHK House for Rent in Kakkanad Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,650.0,House,1
1 BHK Apartment for Rent in Pallimukku Kochi,15000.0,Furnished,1.0,Bachelors/Family,2 out of 2,Immediately,750.0,Apartment,1
3 BHK Villa for Rent in Thrippunithura Kochi,16000.0,Semi-Furnished,4.0,Bachelors/Family,,From Feb '25,,Villa,3
3 BHK Apartment for Rent in Edappally Kochi,30000.0,Furnished,3.0,Bachelors/Family,11 out of 23,Immediately,,Apartment,3
3 BHK House for Rent in Kakkanad Ambadimoola Kochi,20000.0,Semi-Furnished,3.0,Bachelors,,Immediately,1515.0,House,3
3 BHK House for Rent in Thrippunithura Kochi,17000.0,Unfurnished,3.0,Bachelors/Family,2 out of 2,Immediately,1150.0,House,3
3 BHK Villa for Rent in Nedumbassery Kochi,25000.0,Furnished,4.0,Bachelors/Family,,Immediately,,Villa,3
3 BHK House for Rent in Vyttila Kochi,22000.0,Semi-Furnished,4.0,Bachelors/Family,,Immediately,,House,3
"3 BHK Apartment for Rent in Edappally, Kochi Kochi",20000.0,,,Bachelors/Family,,Immediately,,Apartment,3
"3 BHK Apartment for Rent in Relcon Retreat, Edappally Kochi",21500.0,Semi-Furnished,3.0,Bachelors/Family,1 out of 5,From Feb '25,,Apartment,3
4 BHK House for Rent in Kakkanad Kochi,40000.0,Furnished,4.0,Family,,Immediately,2800.0,House,4
2 BHK Apartment for Rent in Elamakkara Kochi,20000.0,Semi-Furnished,2.0,Bachelors/Family,8 out of 10,Immediately,,Apartment,2
