title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area,House,BHK
2 BHK House for Rent in Edappally Kochi,25000.0,Semi-Furnished,2.0,Bachelors,1 out of 2,Immediately,700.0,House,2
3 BHK House for Rent in Vyttila Kochi,28000.0,Furnished,3.0,Bachelors/Family,1 out of 2,Immediately,,House,3
1 BHK House for Rent in Kakkanad Kochi,5000.0,Furnished,2.0,Bachelors/Family,,Immediately,,House,1
"3 BHK Apartment for Rent in Puravankra Moonreach, Kakkanad Kochi",32000.0,Semi-Furnished,4.0,Bachelors/Family,6 out of 20,Immediately,,Apartment,3
2 BHK House for Rent in Edappally Kochi,28000.0,Furnished,2.0,Bachelors/Family,,Immediately,,House,2
2 BHK Villa for Rent in Thoppumpady Kochi,14850.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,1000.0,Villa,2
3 BHK House for Rent in Chalikkavattom Kochi,28000.0,Unfurnished,3.0,Bachelors,1 out of 1,Immediately,1700.0,House,3
1 BHK Apartment for Rent in Mundamveli Kochi,7500.0,Semi-Furnished,1.0,Bachelors,1 out of 2,Immediately,,Apartment,1
"3 BHK Villa for Rent in Green Casa, Kakkanad Kochi",30000.0,Semi-Furnished,4.0,Bachelors/Family,,Immediately,,Villa,3
2 BHK Apartment for Rent in Kochi,27000.0,Unfurnished,2.0,Bachelors/Family,7 out of 12,Immediately,1200.0,Apartment,2
"3 BHK Apartment for Rent in Olive Courtyard, Kakkanad Kochi",35000.0,Furnished,3.0,Bachelors/Family,10 out of 14,Immediately,1500.0,Apartment,3
"3 BHK Apartment for Rent in Confident Pride, Edappally Kochi",32000.0,Semi-Furnished,3.0,Bachelors/Family,9 out of 19,Immediately,,Apartment,3
1 BHK Apartment for Rent in Edappally Kochi,12000.0,Unfurnished,1.0,Bachelors/Family,2 out of 2,Immediately,,Apartment,1
"4 BHK Villa for Rent in Olive Courtyard, Kakkanad Kochi",40000.0,Semi-Furnished,5.0,Family,,Immediately,,Villa,4
Studio Apartment for Rent in Gandhinagar Kochi,5500.0,Furnished,1.0,Bachelors/Family,2 out of 3,Immediately,200.0,Apartment,S
"3 BHK Apartment for Rent in Puravankara Purva Eternity, Thrikkakara Kochi",35000.0,Furnished,3.0,Bachelors/Family,14 out of 20,Immediately,,Apartment,3
"2 BHK Apartment for Rent in ABAD Bluechip, Kakkanad Kochi",25000.0,Furnished,2.0,Family,,Immediately,1100.0,Apartment,2
"3 BHK Apartment for Rent in Veegaland Bliss, Thrippunithura Kochi",25000.0,Semi-Furnished,2.0,Bachelors,5 out of 13,Immediately,900.0,Apartment,3
"2 BHK Apartment for Rent in KB Apartments, Kadavanthra Kochi",18000.0,Unfurnished,2.0,Bachelors,5 out of 6,Immediately,800.0,Apartment,2
2 BHK House for Rent in Maradu Kochi,25000.0,Furnished,2.0,Bachelors/Family,Ground out of 1,Immediately,725.0,House,2
"3 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",35000.0,Furnished,2.0,Bachelors/Family,2 out of 10,Immediately,1102.0,Apartment,3
3 BHK Villa for Rent in Kakkanad Kochi,28000.0,Furnished,3.0,Bachelors,,From Apr '25,1800.0,Villa,3
2 BHK House for Rent in Palarivattom Kochi,4000.0,Unfurnished,2.0,Bachelors/Family,2 out of 1,Immediately,1300.0,House,2
1 BHK House for Rent in Pachalam Kochi,9000.0,Unfurnished,1.0,Bachelors/Family,1 out of 2,Immediately,,House,1
2 BHK House for Rent in Maradu Kochi,5000.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,,House,2
"4 BHK House for Rent in Skyline Ranch, Kannankulangara Kochi",22000.0,Semi-Furnished,4.0,Bachelors/Family,Ground out of 1,Immediately,,House,4
2 BHK Builder Floor for Rent in Kakkanad Kochi,14000.0,Semi-Furnished,2.0,Family,1 out of 3,Immediately,,Builder Floor,2
"4 BHK Apartment for Rent in Prestige Neptunes Courtyard, Marine Drive Kochi",70000.0,Unfurnished,6.0,Bachelors/Family,15 out of 16,Immediately,,Apartment,4
2 BHK Builder Floor for Rent in Kakkanad Kochi,13000.0,Unfurnished,2.0,Bachelors/Family,1 out of 3,Immediately,,Builder Floor,2
"3 BHK Apartment for Rent in Regal Valencia, Kakkanad Kochi",25000.0,Semi-Furnished,3.0,Bachelors/Family,12 out of 12,Immediately,,Apartment,3
3 BHK Villa for Rent in Kakkanad Kochi,25000.0,Furnished,4.0,Bachelors/Family,,Immediately,,Villa,3
3 BHK Builder Floor for Rent in Elamakkara Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,2 out of 3,Immediately,,Builder Floor,3
1 BHK Apartment for Rent in Vyttila Kochi,17500.0,Furnished,1.0,Bachelors/Family,2 out of 2,Immediately,600.0,Apartment,1
2 BHK Apartment for Rent in Edappally Kochi,18000.0,Furnished,2.0,Bachelors/Family,1 out of 3,Immediately,,Apartment,2
3 BHK House for Rent in Edappally Kochi,22000.0,Semi-Furnished,3.0,Bachelors/Family,1 out of 2,Immediately,,House,3
2 BHK Apartment for Rent in Thrippunithura Kochi,16000.0,Furnished,2.0,Bachelors/Family,4 out of 8,Immediately,,Apartment,2
4 BHK Villa for Rent in Thrikkakara Kochi,25000.0,Semi-Furnished,4.0,Bachelors/Family,,Immediately,,Villa,4
"3 BHK House for Rent in Vinayaka Homes, Thrippunithura Kochi",15000.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,1450.0,House,3
1 BHK Apartment for Rent in Nedumbassery Kochi,9000.0,Furnished,1.0,Bachelors/Family,3 out of 4,Immediately,,Apartment,1
3 BHK Builder Floor for Rent in Vyttila Kochi,20000.0,Unfurnished,2.0,Bachelors/Family,2 out of 4,Immediately,,Builder Floor,3
1 BHK Apartment for Rent in Kakkanad Kochi,15000.0,Unfurnished,1.0,Bachelors/Family,10 out of 15,Immediately,,Apartment,1
2 BHK Apartment for Rent in Edappally Kochi,16000.0,Furnished,2.0,Bachelors/Family,2 out of 3,Immediately,,Apartment,2
3 BHK Apartment for Rent in Kakkanad Kochi,25000.0,Furnished,3.0,Bachelors/Family,18 out of 19,Immediately,,Apartment,3
2 BHK Apartment for Rent in Pukattupady Kochi,8500.0,Semi-Furnished,2.0,Family,14 out of 16,Immediately,,Apartment,2
3 BHK Villa for Rent in Aluva Kochi,14000.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,,Villa,3
2 BHK House for Rent in Edappally Kochi,17000.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,,House,2
2 BHK House for Rent in Kakkanad Kochi,30000.0,Furnished,2.0,Bachelors/Family,,Immediately,,House,2
2 BHK House for Rent in Kalamasery Kochi,4000.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 2,Immediately,,House,2
2 BHK House for Rent in Thrikkakara Kochi,5000.0,Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,1000.0,House,2
2 BHK House for Rent in Kaloor Kochi,15000.0,Semi-Furnished,2.0,Bachelors/Family,1 out of 2,Immediately,,House,2
2 BHK Apartment for Rent in Kakkanad Kochi,20000.0,Semi-Furnished,2.0,Family,2 out of 2,Immediately,725.0,Apartment,2
"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",,Semi-Furnished,3.0,Bachelors/Family,,Immediately,1691.0,Apartment,3
2 BHK Apartment for Rent in Cherai Kochi,,Unfurnished,2.0,Bachelors/Family,1 out of 3,Immediately,825.0,Apartment,2
3 BHK Apartment for Rent in Angamali Kochi,,Furnished,3.0,Bachelors/Family,6 out of 12,Immediately,,Apartment,3
"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",,Semi-Furnished,3.0,Bachelors/Family,Ground out of 12,Immediately,1691.0,Apartment,3
3 BHK Apartment for Rent in Kakkanad Kochi,,Semi-Furnished,3.0,Bachelors/Family,8 out of 9,Immediately,,Apartment,3
2 BHK House for Rent in Pachalam Kochi,,Semi-Furnished,2.0,Family,1 out of 3,Immediately,,House,2
"Apartment for Rent in Ninfa Casa, Kaloor Kochi",,,,Bachelors/Family,,Immediately,,Apartment,A
Apartment for Rent in Edachira Kochi,,,,Bachelors/Family,,Immediately,,Apartment,A
"Apartment for Rent in Triarch Infopark Plots, Kakkanad Kochi",,,,Bachelors/Family,,Immediately,,Apartment,A
3 BHK House for Rent in Fort Kochi Kochi,35000.0,Furnished,3.0,Bachelors/Family,,From Feb '25,,House,3
"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",85000.0,Semi-Furnished,5.0,Family,4 out of 25,Immediately,3200.0,Apartment,4
4 BHK Apartment for Rent in Kakkanad Kochi,25000.0,,,Bachelors/Family,,Immediately,,Apartment,4
"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000.0,Furnished,4.0,Bachelors/Family,13 out of 40,Immediately,,Apartment,3
2 BHK Service Apartment for Rent in Vyttila Kochi,30000.0,,2.0,Bachelors/Family,1 out of 4,Immediately,,Service Apartment,2
3 BHK Apartment for Rent in Elamakkara Kochi,30000.0,Semi-Furnished,3.0,Bachelors/Family,2 out of 2,Immediately,2500.0,Apartment,3
"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi",40000.0,Semi-Furnished,3.0,Family,7 out of 15,Immediately,2100.0,Apartment,3
3 BHK Villa for Rent in Thevakkal Kochi,27000.0,Unfurnished,3.0,Bachelors,,Immediately,1600.0,Villa,3
"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",40000.0,Furnished,2.0,Bachelors/Family,,Immediately,900.0,Apartment,2
"3 BHK Apartment for Rent in Mir Green Metropolis, Kakkanad Kochi",32000.0,Furnished,3.0,Family,3 out of 10,Immediately,1500.0,Apartment,3
"2 BHK Apartment for Rent in JM apartments, kaloor Kochi",15000.0,Unfurnished,2.0,Bachelors/Family,1 out of 3,Immediately,,Apartment,2
3 BHK Villa for Rent in Nedumbassery Kochi,25000.0,Furnished,4.0,Bachelors/Family,,From Feb '25,,Villa,3
4 BHK House for Rent in Kakkanad Kochi,40000.0,Furnished,4.0,Bachelors/Family,,Immediately,,House,4
1 BHK Apartment for Rent in Angamali Kochi,10000.0,Furnished,1.0,Bachelors,1 out of 3,Immediately,100.0,Apartment,1
"2 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi",20300.0,Semi-Furnished,2.0,Family,2 out of 12,Immediately,,Apartment,2
"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi",10600.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,,Apartment,1
1 BHK Apartment for Rent in Infopark Kochi,15000.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 4,Immediately,700.0,Apartment,1
2 BHK Villa for Rent in Kakkanad Kochi,2750.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,1010.0,Villa,2
3 BHK Villa for Rent in Fort Kochi Kochi,35000.0,Furnished,3.0,Family,,From Feb '25,,Villa,3
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",70000.0,Furnished,4.0,Family,8 out of 25,Immediately,2207.0,Apartment,3
"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000.0,Furnished,4.0,Bachelors/Family,13 out of 40,Immediately,,Apartment,3
"4 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",75000.0,Furnished,4.0,Bachelors/Family,23 out of 26,Immediately,,Apartment,4
3 BHK Apartment for Rent in sfs haveli Kochi,50000.0,Semi-Furnished,4.0,Bachelors,4 out of 4,Immediately,2223.0,Apartment,3
3 BHK Apartment for Rent in Branded Society Kochi,25000.0,Unfurnished,3.0,Bachelors,8 out of 14,Immediately,1200.0,Apartment,3
3 BHK Apartment for Rent in Palachuvadu Kochi,25000.0,Semi-Furnished,2.0,Bachelors/Family,Upper Basement out of 14,Immediately,1210.0,Apartment,3
"3 BHK Apartment for Rent in DD Highway Gate, Netoor Kochi",40000.0,Furnished,3.0,Bachelors/Family,2 out of 14,Immediately,1200.0,Apartment,3
"3 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi",22300.0,Semi-Furnished,3.0,Family,6 out of 15,Immediately,1450.0,Apartment,3
1 BHK Apartment for Rent in Kakkanad Kochi,15000.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 4,Immediately,750.0,Apartment,1
1 BHK Builder Floor for Rent in Edappally Kochi,9000.0,Unfurnished,1.0,Bachelors/Family,1 out of 2,Immediately,1200.0,Builder Floor,1
4 BHK House for Rent in Kundanoor Kochi,45000.0,Semi-Furnished,5.0,Family,,Immediately,,House,4
"3 BHK Apartment for Rent in Mather Serenade , Vazhakkala Kochi",60000.0,Furnished,4.0,Bachelors/Family,1 out of 10,Immediately,2500.0,Apartment,3
3 BHK Apartment for Rent in Cheranalloor Kochi,55000.0,Semi-Furnished,3.0,Family,3 out of 20,Immediately,,Apartment,3
1 BHK Apartment for Rent in Palachuvadu Kochi,9500.0,Unfurnished,1.0,Bachelors,1 out of 3,Immediately,380.0,Apartment,1
"3 BHK Apartment for Rent in KG Oxford Symphony, Palarivattom Kochi",26500.0,Furnished,3.0,Family,5 out of 8,Immediately,,Apartment,3
"1 BHK Apartment for Rent in RM Zybervale Apartments, Kakkanad Kochi",14000.0,Semi-Furnished,1.0,Bachelors/Family,2 out of 8,Immediately,550.0,Apartment,1
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",68000.0,Furnished,3.0,Family,8 out of 25,Immediately,1700.0,Apartment,3
3 BHK House for Rent in Vyttila Kochi,40000.0,Furnished,4.0,Bachelors/Family,,Immediately,,House,3
"3 BHK Apartment for Rent in SFS Grandville , Edappally Kochi",38000.0,Semi-Furnished,3.0,Bachelors,7 out of 18,Immediately,1800.0,Apartment,3
3 BHK Villa for Rent in Kakkanad Kochi,18000.0,Furnished,3.0,Bachelors,,Immediately,1080.0,Villa,3
"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",100000.0,Furnished,5.0,Family,7 out of 28,Immediately,2600.0,Apartment,4
"3 BHK Apartment for Rent in Skyline Orionpark, Edappally Kochi",35000.0,Furnished,3.0,Bachelors/Family,11 out of 13,Immediately,1400.0,Apartment,3
"4 BHK Apartment for Rent in Prestige Hillside Gateway, Chittethukara Kochi",49000.0,Semi-Furnished,4.0,Family,5 out of 20,Immediately,2016.0,Apartment,4
3 BHK Villa for Rent in Branded villa Kochi,27000.0,Semi-Furnished,3.0,Bachelors,,Immediately,1250.0,Villa,3
"3 BHK Apartment for Rent in Skyline Spectra, Kakkanad Kochi",40000.0,Semi-Furnished,3.0,Bachelors/Family,9 out of 18,Immediately,,Apartment,3
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",85000.0,Furnished,3.0,Bachelors/Family,2 out of 2,Immediately,,Apartment,3
2 BHK Apartment for Rent in Kadavanthra Kochi,20000.0,Furnished,2.0,Bachelors,4 out of 8,Immediately,900.0,Apartment,2
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",100000.0,Furnished,4.0,Family,3 out of 3,Immediately,1900.0,Apartment,3
3 BHK Apartment for Rent in Branded Society Kochi,45000.0,Furnished,2.0,Bachelors,7 out of 22,Immediately,950.0,Apartment,3
"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000.0,Furnished,3.0,Bachelors/Family,29 out of 40,Immediately,1900.0,Apartment,3
3 BHK Apartment for Rent in branded Society Kochi,40000.0,Furnished,3.0,Bachelors,1 out of 20,Immediately,1450.0,Apartment,3
3 BHK Apartment for Rent in Chittethukara Kochi,30000.0,Furnished,4.0,Family,21 out of 24,Immediately,1800.0,Apartment,3
"4 BHK Apartment for Rent in Fern Aristocrat, Maradu Kochi",70000.0,Furnished,4.0,Bachelors,7 out of 14,Immediately,4000.0,Apartment,4
"3 BHK Apartment for Rent in RDS Aura, Kadavanthra Kochi",50000.0,Furnished,3.0,Family,7 out of 18,Immediately,2000.0,Apartment,3
4 BHK House for Rent in Branded House Kochi,30000.0,Furnished,4.0,Bachelors,,Immediately,1800.0,House,4
"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",90000.0,Semi-Furnished,5.0,Family,4 out of 25,Immediately,,Apartment,4
2 BHK Apartment for Rent in Padamugal Kochi,26000.0,Furnished,2.0,Bachelors,2 out of 3,Immediately,850.0,Apartment,2
"3 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",23000.0,Semi-Furnished,3.0,Bachelors,11 out of 21,Immediately,1800.0,Apartment,3
"3 BHK Apartment for Rent in Puravankara Purva Eternity, Kakkanad Kochi",35000.0,Furnished,3.0,Bachelors,10 out of 20,Immediately,,Apartment,3
"2 BHK Apartment for Rent in DD Highway Gate, Netoor Kochi",16000.0,Semi-Furnished,2.0,Bachelors,7 out of 14,Immediately,,Apartment,2
