,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
93,"3 BHK Apartment for Rent in Happy Homes Bhishma, Kakkanad Kochi",23000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,5.0,7.0
94,2 BHK Apartment for Rent in Edappally Kochi,20000.0,Furnished,2.0,Bachelors/Family,850.0,Apartment,2,Edappally,0.0,2.0
95,"3 BHK Apartment for Rent in GRTL Gardenia, Edappally Kochi",20000.0,Unfurnished,3.0,Bachelors/Family,1570.0,Apartment,3,Edappally,1.0,1.0
96,"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",18000.0,Semi-Furnished,2.0,Bachelors/Family,,Apartment,2,Kakkanad,8.0,22.0
97,"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",20000.0,Semi-Furnished,3.0,Bachelors/Family,1691.0,Apartment,3,Kakkanad,0.0,12.0
98,4 BHK House for Rent in Edappally Kochi,45000.0,Furnished,5.0,Bachelors,,House,4,Edappally,0.0,1.0
99,"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",35000.0,Furnished,3.0,Bachelors/Family,1200.0,Apartment,2,Kakkanad,4.0,7.0
100,"3 BHK Apartment for Rent in Green Vistas Prakrriti, Kakkanad Kochi",30000.0,Semi-Furnished,3.0,Family,1600.0,Apartment,3,Kakkanad,2.0,14.0
101,3 BHK House for Rent in Vyttila Kochi,22500.0,Semi-Furnished,2.0,Bachelors,1200.0,House,3,Vyttila,,
102,"1 BHK Apartment for Rent in Platinum Crown Unichira, Edappally Kochi",16000.0,Furnished,1.0,Bachelors/Family,750.0,Apartment,1,Edappally,4.0,5.0
103,3 BHK Apartment for Rent in Vyttila Kochi,20000.0,Unfurnished,3.0,Bachelors/Family,1500.0,Apartment,3,Vyttila,12.0,18.0
104,1 BHK Apartment for Rent in Edappally Kochi,13000.0,Semi-Furnished,1.0,Bachelors,,Apartment,1,Edappally,2.0,2.0
105,"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi",55000.0,Furnished,4.0,Bachelors,,Apartment,3,Kakkanad,7.0,10.0
106,1 BHK House for Rent in Kakkanad Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,650.0,House,1,Kakkanad,1.0,1.0
107,2 BHK Builder Floor for Rent in Kakkanad Kochi,16500.0,Semi-Furnished,2.0,Bachelors,,Builder Floor,2,Kakkanad,1.0,3.0
108,3 BHK Apartment for Rent in Kakkanad Kochi,35000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,22.0,25.0
109,2 BHK House for Rent in Edappally Kochi,25000.0,Semi-Furnished,2.0,Bachelors,700.0,House,2,Edappally,1.0,2.0
110,"3 BHK Apartment for Rent in DD Diamond Valley, Kakkanad Kochi",28000.0,Semi-Furnished,3.0,Bachelors,,Apartment,3,Kakkanad,1.0,17.0
111,"3 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi",28000.0,Furnished,3.0,Bachelors/Family,,Apartment,3,Kakkanad,3.0,12.0
