title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
3 BHK Builder Floor for Rent in Edappally Kochi,26000,Unfurnished,3,Bachelors,1500,Builder Floor,3,Edappally,0,2
2 BHK House for Rent in Kangarappady Kochi,20000,Semi-Furnished,3,Family,,House,2,Kangarappady,,
4 BHK House for Rent in Edappally Kochi,55000,Furnished,4,Bachelors,2300,House,4,Edappally,,
"1 BHK Apartment for Rent in Earthspace Transit, earthspace apartment Kochi",15000,Furnished,1,Bachelors/Family,750,Apartment,1,apartment,4,8
2 BHK House for Rent in Cheranalloor Kochi,26000,Furnished,2,Bachelors/Family,600,House,2,Cheranalloor,,
2 BHK Builder Floor for Rent in Aerambakkal Kochi,12000,Semi-Furnished,1,Bachelors/Family,900,Builder Floor,2,Aerambakkal,2,2
2 BHK House for Rent in Vyttila Kochi,15000,Semi-Furnished,2,Bachelors/Family,,House,2,Vyttila,1,2
3 BHK House for Rent in near KSRTC bus stand Kochi,23000,Semi-Furnished,3,Bachelors/Family,1500,House,3,stand,,
1 BHK House for Rent in Kakkanad Kochi,15000,Unfurnished,2,Bachelors/Family,650,House,1,Kakkanad,1,1
1 BHK Apartment for Rent in Pallimukku Kochi,15000,Furnished,1,Bachelors/Family,750,Apartment,1,Pallimukku,2,2
3 BHK Villa for Rent in Thrippunithura Kochi,16000,Semi-Furnished,4,Bachelors/Family,,Villa,3,Thrippunithura,,
3 BHK Apartment for Rent in Edappally Kochi,30000,Furnished,3,Bachelors/Family,,Apartment,3,Edappally,11,23
3 BHK House for Rent in Kakkanad Ambadimoola Kochi,20000,Semi-Furnished,3,Bachelors,1515,House,3,Ambadimoola,,
3 BHK House for Rent in Thrippunithura Kochi,17000,Unfurnished,3,Bachelors/Family,1150,House,3,Thrippunithura,2,2
3 BHK Villa for Rent in Nedumbassery Kochi,25000,Furnished,4,Bachelors/Family,,Villa,3,Nedumbassery,,
3 BHK House for Rent in Vyttila Kochi,22000,Semi-Furnished,4,Bachelors/Family,,House,3,Vyttila,,
"3 BHK Apartment for Rent in Edappally, Kochi Kochi",20000,,,Bachelors/Family,,Apartment,3,Kochi,,
