title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
"3 BHK Apartment for Rent in Puravankara Purva Eternity, Thrikkakara Kochi",35000,Furnished,3,Bachelors/Family,,Apartment,3,Thrikkakara,14,20
"2 BHK Apartment for Rent in ABAD Bluechip, Kakkanad Kochi",25000,Furnished,2,Family,1100,Apartment,2,Kakkanad,,
"3 BHK Apartment for Rent in Veegaland Bliss, Thrippunithura Kochi",25000,Semi-Furnished,2,Bachelors,900,Apartment,3,Thrippunithura,5,13
"2 BHK Apartment for Rent in KB Apartments, Kadavanthra Kochi",18000,Unfurnished,2,Bachelors,800,Apartment,2,Kadavanthra,5,6
2 BHK House for Rent in Maradu Kochi,25000,Furnished,2,Bachelors/Family,725,House,2,Maradu,0,1
"3 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",35000,Furnished,2,Bachelors/Family,1102,Apartment,3,Edappally,2,10
3 BHK Villa for Rent in Kakkanad Kochi,28000,Furnished,3,Bachelors,1800,Villa,3,Kakkanad,,
2 BHK House for Rent in Palarivattom Kochi,4000,Unfurnished,2,Bachelors/Family,1300,House,2,Palarivattom,2,1
1 BHK House for Rent in Pachalam Kochi,9000,Unfurnished,1,Bachelors/Family,,House,1,Pachalam,1,2
2 BHK House for Rent in Maradu Kochi,5000,Semi-Furnished,2,Bachelors/Family,,House,2,Maradu,,
"4 BHK House for Rent in Skyline Ranch, Kannankulangara Kochi",22000,Semi-Furnished,4,Bachelors/Family,,House,4,Kannankulangara,0,1
2 BHK Builder Floor for Rent in Kakkanad Kochi,14000,Semi-Furnished,2,Family,,Builder Floor,2,Kakkanad,1,3
"4 BHK Apartment for Rent in Prestige Neptunes Courtyard, Marine Drive Kochi",70000,Unfurnished,6,Bachelors/Family,,Apartment,4,Marine Drive,15,16
2 BHK Builder Floor for Rent in Kakkanad Kochi,13000,Unfurnished,2,Bachelors/Family,,Builder Floor,2,Kakkanad,1,3
"3 BHK Apartment for Rent in Regal Valencia, Kakkanad Kochi",25000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,12,12
3 BHK Villa for Rent in Kakkanad Kochi,25000,Furnished,4,Bachelors/Family,,Villa,3,Kakkanad,,
3 BHK Builder Floor for Rent in Elamakkara Kochi,15000,Semi-Furnished,2,Bachelors/Family,,Builder Floor,3,Elamakkara,2,3
1 BHK Apartment for Rent in Vyttila Kochi,17500,Furnished,1,Bachelors/Family,600,Apartment,1,Vyttila,2,2
2 BHK Apartment for Rent in Edappally Kochi,18000,Furnished,2,Bachelors/Family,,Apartment,2,Edappally,1,3
3 BHK House for Rent in Edappally Kochi,22000,Semi-Furnished,3,Bachelors/Family,,House,3,Edappally,1,2
2 BHK Apartment for Rent in Thrippunithura Kochi,16000,Furnished,2,Bachelors/Family,,Apartment,2,Thrippunithura,4,8
4 BHK Villa for Rent in Thrikkakara Kochi,25000,Semi-Furnished,4,Bachelors/Family,,Villa,4,Thrikkakara,,
"3 BHK House for Rent in Vinayaka Homes, Thrippunithura Kochi",15000,Semi-Furnished,2,Bachelors/Family,1450,House,3,Thrippunithura,,
1 BHK Apartment for Rent in Nedumbassery Kochi,9000,Furnished,1,Bachelors/Family,,Apartment,1,Nedumbassery,3,4
3 BHK Builder Floor for Rent in Vyttila Kochi,20000,Unfurnished,2,Bachelors/Family,,Builder Floor,3,Vyttila,2,4
1 BHK Apartment for Rent in Kakkanad Kochi,15000,Unfurnished,1,Bachelors/Family,,Apartment,1,Kakkanad,10,15
2 BHK Apartment for Rent in Edappally Kochi,16000,Furnished,2,Bachelors/Family,,Apartment,2,Edappally,2,3
3 BHK Apartment for Rent in Kakkanad Kochi,25000,Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,18,19
2 BHK Apartment for Rent in Pukattupady Kochi,8500,Semi-Furnished,2,Family,,Apartment,2,Pukattupady,14,16
3 BHK Villa for Rent in Aluva Kochi,14000,Semi-Furnished,2,Bachelors/Family,,Villa,3,Aluva,,
2 BHK House for Rent in Edappally Kochi,17000,Semi-Furnished,2,Bachelors/Family,,House,2,Edappally,,
2 BHK House for Rent in Kakkanad Kochi,30000,Furnished,2,Bachelors/Family,,House,2,Kakkanad,,
2 BHK House for Rent in Kalamasery Kochi,4000,Semi-Furnished,1,Bachelors/Family,,House,2,Kalamasery,1,2
2 BHK House for Rent in Thrikkakara Kochi,5000,Unfurnished,2,Bachelors/Family,1000,House,2,Thrikkakara,1,1
2 BHK House for Rent in Kaloor Kochi,15000,Semi-Furnished,2,Bachelors/Family,,House,2,Kaloor,1,2
2 BHK Apartment for Rent in Kakkanad Kochi,20000,Semi-Furnished,2,Family,725,Apartment,2,Kakkanad,2,2
"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",,Semi-Furnished,3,Bachelors/Family,1691,Apartment,3,Kakkanad,,
2 BHK Apartment for Rent in Cherai Kochi,,Unfurnished,2,Bachelors/Family,825,Apartment,2,Cherai,1,3
3 BHK Apartment for Rent in Angamali Kochi,,Furnished,3,Bachelors/Family,,Apartment,3,Angamali,6,12
"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",,Semi-Furnished,3,Bachelors/Family,1691,Apartment,3,Kakkanad,0,12
3 BHK Apartment for Rent in Kakkanad Kochi,,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,8,9
2 BHK House for Rent in Pachalam Kochi,,Semi-Furnished,2,Family,,House,2,Pachalam,1,3
"Apartment for Rent in Ninfa Casa, Kaloor Kochi",,,,Bachelors/Family,,Apartment,A,Kaloor,,
Apartment for Rent in Edachira Kochi,,,,Bachelors/Family,,Apartment,A,Edachira,,
"Apartment for Rent in Triarch Infopark Plots, Kakkanad Kochi",,,,Bachelors/Family,,Apartment,A,Kakkanad,,
3 BHK House for Rent in Fort Kochi Kochi,35000,Furnished,3,Bachelors/Family,,House,3,Fort Kochi,,
"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",85000,Semi-Furnished,5,Family,3200,Apartment,4,Marine Drive,4,25
4 BHK Apartment for Rent in Kakkanad Kochi,25000,,,Bachelors/Family,,Apartment,4,Kakkanad,,
"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000,Furnished,4,Bachelors/Family,,Apartment,3,Thrippunithura,13,40
2 BHK Service Apartment for Rent in Vyttila Kochi,30000,,2,Bachelors/Family,,Service Apartment,2,Vyttila,1,4
3 BHK Apartment for Rent in Elamakkara Kochi,30000,Semi-Furnished,3,Bachelors/Family,2500,Apartment,3,Elamakkara,2,2
"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi",40000,Semi-Furnished,3,Family,2100,Apartment,3,Kakkanad,7,15
3 BHK Villa for Rent in Thevakkal Kochi,27000,Unfurnished,3,Bachelors,1600,Villa,3,Thevakkal,,
"2 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",40000,Furnished,2,Bachelors/Family,900,Apartment,2,Edappally,,
"3 BHK Apartment for Rent in Mir Green Metropolis, Kakkanad Kochi",32000,Furnished,3,Family,1500,Apartment,3,Kakkanad,3,10
"2 BHK Apartment for Rent in JM apartments, kaloor Kochi",15000,Unfurnished,2,Bachelors/Family,,Apartment,2,kaloor,1,3
3 BHK Villa for Rent in Nedumbassery Kochi,25000,Furnished,4,Bachelors/Family,,Villa,3,Nedumbassery,,
4 BHK House for Rent in Kakkanad Kochi,40000,Furnished,4,Bachelors/Family,,House,4,Kakkanad,,
1 BHK Apartment for Rent in Angamali Kochi,10000,Furnished,1,Bachelors,100,Apartment,1,Angamali,1,3
"2 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi",20300,Semi-Furnished,2,Family,,Apartment,2,Kakkanad,2,12
"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi",10600,Semi-Furnished,1,Bachelors/Family,,Apartment,1,Kakkanad,1,3
1 BHK Apartment for Rent in Infopark Kochi,15000,Semi-Furnished,1,Bachelors/Family,700,Apartment,1,Infopark,1,4
2 BHK Villa for Rent in Kakkanad Kochi,2750,Semi-Furnished,2,Bachelors/Family,1010,Villa,2,Kakkanad,,
3 BHK Villa for Rent in Fort Kochi Kochi,35000,Furnished,3,Family,,Villa,3,Fort Kochi,,
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",70000,Furnished,4,Family,2207,Apartment,3,Marine Drive,8,25
"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000,Furnished,4,Bachelors/Family,,Apartment,3,Thrippunithura,13,40
"4 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",75000,Furnished,4,Bachelors/Family,,Apartment,4,Marine Drive,23,26
3 BHK Apartment for Rent in sfs haveli Kochi,50000,Semi-Furnished,4,Bachelors,2223,Apartment,3,haveli,4,4
3 BHK Apartment for Rent in Branded Society Kochi,25000,Unfurnished,3,Bachelors,1200,Apartment,3,Branded Society,8,14
3 BHK Apartment for Rent in Palachuvadu Kochi,25000,Semi-Furnished,2,Bachelors/Family,1210,Apartment,3,Palachuvadu,-1,14
"3 BHK Apartment for Rent in DD Highway Gate, Netoor Kochi",40000,Furnished,3,Bachelors/Family,1200,Apartment,3,Netoor,2,14
"3 BHK Apartment for Rent in Infra Aspire, Kakkanad Kochi",22300,Semi-Furnished,3,Family,1450,Apartment,3,Kakkanad,6,15
1 BHK Apartment for Rent in Kakkanad Kochi,15000,Semi-Furnished,1,Bachelors/Family,750,Apartment,1,Kakkanad,1,4
1 BHK Builder Floor for Rent in Edappally Kochi,9000,Unfurnished,1,Bachelors/Family,1200,Builder Floor,1,Edappally,1,2
4 BHK House for Rent in Kundanoor Kochi,45000,Semi-Furnished,5,Family,,House,4,Kundanoor,,
"3 BHK Apartment for Rent in Mather Serenade , Vazhakkala Kochi",60000,Furnished,4,Bachelors/Family,2500,Apartment,3,Vazhakkala,1,10
3 BHK Apartment for Rent in Cheranalloor Kochi,55000,Semi-Furnished,3,Family,,Apartment,3,Cheranalloor,3,20
1 BHK Apartment for Rent in Palachuvadu Kochi,9500,Unfurnished,1,Bachelors,380,Apartment,1,Palachuvadu,1,3
"3 BHK Apartment for Rent in KG Oxford Symphony, Palarivattom Kochi",26500,Furnished,3,Family,,Apartment,3,Palarivattom,5,8
"1 BHK Apartment for Rent in RM Zybervale Apartments, Kakkanad Kochi",14000,Semi-Furnished,1,Bachelors/Family,550,Apartment,1,Kakkanad,2,8
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",68000,Furnished,3,Family,1700,Apartment,3,Marine Drive,8,25
3 BHK House for Rent in Vyttila Kochi,40000,Furnished,4,Bachelors/Family,,House,3,Vyttila,,
"3 BHK Apartment for Rent in SFS Grandville , Edappally Kochi",38000,Semi-Furnished,3,Bachelors,1800,Apartment,3,Edappally,7,18
3 BHK Villa for Rent in Kakkanad Kochi,18000,Furnished,3,Bachelors,1080,Villa,3,Kakkanad,,
"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",100000,Furnished,5,Family,2600,Apartment,4,Marine Drive,7,28
"3 BHK Apartment for Rent in Skyline Orionpark, Edappally Kochi",35000,Furnished,3,Bachelors/Family,1400,Apartment,3,Edappally,11,13
"4 BHK Apartment for Rent in Prestige Hillside Gateway, Chittethukara Kochi",49000,Semi-Furnished,4,Family,2016,Apartment,4,Chittethukara,5,20
3 BHK Villa for Rent in Branded villa Kochi,27000,Semi-Furnished,3,Bachelors,1250,Villa,3,villa,,
"3 BHK Apartment for Rent in Skyline Spectra, Kakkanad Kochi",40000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,9,18
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",85000,Furnished,3,Bachelors/Family,,Apartment,3,Marine Drive,2,2
2 BHK Apartment for Rent in Kadavanthra Kochi,20000,Furnished,2,Bachelors,900,Apartment,2,Kadavanthra,4,8
"3 BHK Apartment for Rent in TATA Tritvam , Marine Drive Kochi",100000,Furnished,4,Family,1900,Apartment,3,Marine Drive,3,3
3 BHK Apartment for Rent in Branded Society Kochi,45000,Furnished,2,Bachelors,950,Apartment,3,Branded Society,7,22
"3 BHK Apartment for Rent in Choice Paradise, Thrippunithura Kochi",50000,Furnished,3,Bachelors/Family,1900,Apartment,3,Thrippunithura,29,40
3 BHK Apartment for Rent in branded Society Kochi,40000,Furnished,3,Bachelors,1450,Apartment,3,Branded Society,1,20
3 BHK Apartment for Rent in Chittethukara Kochi,30000,Furnished,4,Family,1800,Apartment,3,Chittethukara,21,24
"4 BHK Apartment for Rent in Fern Aristocrat, Maradu Kochi",70000,Furnished,4,Bachelors,4000,Apartment,4,Maradu,7,14
"3 BHK Apartment for Rent in RDS Aura, Kadavanthra Kochi",50000,Furnished,3,Family,2000,Apartment,3,Kadavanthra,7,18
4 BHK House for Rent in Branded House Kochi,30000,Furnished,4,Bachelors,1800,House,4,House,,
"4 BHK Apartment for Rent in Marina One, Marine Drive Kochi",90000,Semi-Furnished,5,Family,,Apartment,4,Marine Drive,4,25
2 BHK Apartment for Rent in Padamugal Kochi,26000,Furnished,2,Bachelors,850,Apartment,2,Padamugal,2,3
"3 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",23000,Semi-Furnished,3,Bachelors,1800,Apartment,3,Kakkanad,11,21
"3 BHK Apartment for Rent in Puravankara Purva Eternity, Kakkanad Kochi",35000,Furnished,3,Bachelors,,Apartment,3,Kakkanad,10,20
"2 BHK Apartment for Rent in DD Highway Gate, Netoor Kochi",16000,Semi-Furnished,2,Bachelors,,Apartment,2,Netoor,7,14
"2 BHK Flat for Rent in Hacienda, Aluva, Kochi",27000,Furnished,2,Bachelors/Family,,Flat,2,Aluva,2,15
"3 BHK Flat for Rent in Mather Serenade , Vazhakkala, Kochi",60000,Furnished,4,Bachelors/Family,2500,Flat,3,Vazhakkala,1,10
"3 BHK Flat for Rent in Falcon Heights, Palarivattom, Kochi",21000,Semi-Furnished,3,Bachelors,1300,Flat,3,Palarivattom,3,9
"3 BHK Flat for Rent in Abad Casablanca , Vazhakkala, Kochi",35000,Furnished,3,Bachelors/Family,,Flat,3,Vazhakkala,1,11
3 BHK House for Rent in Thrikkakara Kochi,30000,Semi-Furnished,3,Bachelors,1400,House,3,Thrikkakara,0,1
"3 BHK Flat for Rent in Tricore 22, Aluva, Kochi",20000,Furnished,3,Bachelors/Family,1800,Flat,3,Aluva,3,22
2 BHK House for Rent in Aluva Kochi,12000,Semi-Furnished,2,Bachelors/Family,,House,2,Aluva,0,1
2 BHK House for Rent in Vazhakkala Kochi,14500,Semi-Furnished,1,Bachelors/Family,,House,2,Vazhakkala,,
"1 BHK Flat for Rent in Aquacity, Aluva, Kochi",14500,Furnished,1,Bachelors,500,Flat,1,Aluva,19,22
4 BHK Villa for Rent in Aluva Kochi,25000,Semi-Furnished,5,Bachelors/Family,2800,Villa,4,Aluva,,
2 BHK House for Rent in Thrikkakara Kochi,5000,Unfurnished,2,Bachelors/Family,1000,House,2,Thrikkakara,1,1
3 BHK House for Rent in Palarivattom Kochi,,Furnished,3,Bachelors/Family,,House,3,Palarivattom,,
4 BHK House for Rent in Palarivattom Kochi,38000,Furnished,4,Bachelors/Family,2500,House,4,Palarivattom,,
"2 BHK Flat for Rent in Tricore 22, Aluva, Kochi",16500,Furnished,2,Bachelors/Family,700,Flat,2,Aluva,3,5
4 BHK House for Rent in Palarivattom Kochi,30000,Semi-Furnished,1,Bachelors/Family,,House,4,Palarivattom,,
"3 BHK Flat for Rent in SFS Grandville , Thrikkakara, Kochi",40000,Semi-Furnished,4,Bachelors/Family,1730,Flat,3,Thrikkakara,6,13
"1 BHK Flat for Rent in Alpine Suites, Aluva, Kochi",10000,Furnished,1,Bachelors,,Flat,1,Aluva,,
"3 BHK Flat for Rent in Aluva, Kochi",15000,Semi-Furnished,4,Bachelors/Family,1600,Flat,3,,7,14
4 BHK House for Rent in Palarivattom Kochi,45000,Semi-Furnished,4,Bachelors/Family,2500,House,4,Palarivattom,,
"1 BHK Flat for Rent in Vazhakkala, Kochi",15000,Furnished,1,Bachelors/Family,,Flat,1,,1,6
"2 BHK Flat for Rent in Vazhakkala, Kochi",20000,Furnished,2,Bachelors/Family,,Flat,2,,4,4
"3 BHK Flat for Rent in Palarivattom, Kochi",25000,Unfurnished,3,Bachelors,,Flat,3,,6,10
3 BHK Villa for Rent in Thrikkakara Kochi,30000,Semi-Furnished,3,Bachelors/Family,,Villa,3,Thrikkakara,,
3 BHK House for Rent in Palarivattom Kochi,3000,Furnished,3,Bachelors/Family,,House,3,Palarivattom,1,1
"2 BHK Flat for Rent in Thrikkakara, Kochi",25000,Semi-Furnished,2,Bachelors/Family,,Flat,2,,12,18
3 BHK House for Rent in Aluva Kochi,6500,Semi-Furnished,2,Bachelors/Family,,House,3,Aluva,0,1
2 BHK House for Rent in Palarivattom Kochi,11000,Unfurnished,1,Bachelors/Family,,House,2,Palarivattom,0,1
"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi",35000,Unfurnished,2,Bachelors,1254,Flat,2,Kadavanthra,8,18
"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi",31000,Unfurnished,2,Bachelors/Family,1254,Flat,2,Kadavanthra,8,18
"4 BHK Flat for Rent in Ansal City, Thrippunithura, Kochi",48000,Furnished,4,Bachelors/Family,,Flat,4,Thrippunithura,7,11
"3 BHK Flat for Rent in ABAD Daffodil Gardens, Thrippunithura, Kochi",35000,Semi-Furnished,3,Bachelors/Family,1540,Flat,3,Thrippunithura,4,10
3 BHK Service Apartment for Rent in Kaloor Kochi,30000,,3,Bachelors/Family,,Service Apartment,3,Kaloor,3,7
"3 BHK Flat for Rent in Kadavanthra, Kochi",20000,Semi-Furnished,3,Family,,Flat,3,,2,13
"2 BHK Flat for Rent in Kaloor, Kochi",14000,Unfurnished,2,Family,750,Flat,2,,0,2
"2 BHK Flat for Rent in Kaloor, Ernakulam",30000,Semi-Furnished,2,Bachelors/Family,,Flat,2,,3,12
"3 BHK Flat for Rent in Galaxy Luxor, Kadavanthra, Kochi",20000,Furnished,2,Bachelors,1000,Flat,3,Kadavanthra,4,4
3 BHK House for Rent in Thrippunithura Kochi,23000,Unfurnished,3,Bachelors,,House,3,Thrippunithura,1,2
3 BHK House for Rent in Vadakekotta Kochi,15000,Unfurnished,2,Bachelors/Family,,House,3,Vadakekotta,,
"3 BHK Flat for Rent in RDS Aura, Kadavanthra, Kochi",50000,Furnished,4,Bachelors/Family,1750,Flat,3,Kadavanthra,5,12
1 BHK House for Rent in Kadavanthra Kochi,5000,Semi-Furnished,1,Bachelors/Family,,House,1,Kadavanthra,,
"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi",45000,Furnished,5,Bachelors/Family,,Villa,4,Thrippunithura,,
2 BHK House for Rent in Kaloor Kochi,25000,Furnished,2,Bachelors/Family,,House,2,Kaloor,0,2
2 BHK House for Rent in Kadavanthra Kochi,20000,Unfurnished,2,Bachelors/Family,,House,2,Kadavanthra,,
"2 BHK Flat for Rent in KB Apartments, Kadavanthra, Kochi",15000,Semi-Furnished,2,Family,700,Apartment,2,Kadavanthra,5,5
4 BHK Villa for Rent in Thrippunithura Kochi,40000,Semi-Furnished,6,Bachelors/Family,,Villa,4,Thrippunithura,,
"1 BHK Flat for Rent in Kaloor, Kochi",3500,Furnished,1,Bachelors/Family,,Flat,1,,1,3
"3 BHK Flat for Rent in Kaloor, Kochi",17000,Semi-Furnished,2,Bachelors/Family,,Flat,3,,1,4
3 BHK House for Rent in Kaloor Kochi,45000,Unfurnished,4,Bachelors/Family,2100,House,3,Kaloor,0,2
2 BHK House for Rent in Thrippunithura Kochi,12000,Semi-Furnished,2,Bachelors/Family,,House,2,Thrippunithura,,
"2 BHK Flat for Rent in Kadavanthra, Kochi",30000,Semi-Furnished,2,Bachelors/Family,1200,Flat,2,,2,14
"3 BHK Flat for Rent in Kadavanthra, Kochi",18000,Semi-Furnished,3,Bachelors/Family,,Flat,3,,5,19
"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi",35000,Semi-Furnished,4,Bachelors/Family,,Villa,4,Thrippunithura,,
"3 BHK Flat for Rent in Heera Life Style, Thrippunithura, Kochi",25000,Semi-Furnished,4,Bachelors/Family,,Flat,3,Thrippunithura,19,21
3 BHK Villa for Rent in Thrippunithura Kochi,16000,Semi-Furnished,4,Bachelors/Family,,Villa,3,Thrippunithura,,
"3 BHK Flat for Rent in Tiknar Petals, Kadavanthra, Kochi",30000,Semi-Furnished,3,Bachelors/Family,,Flat,3,Kadavanthra,3,15
"3 BHK Flat for Rent in Dream Flower Velvetude, Edappally, Kochi",38000,Furnished,3,Bachelors,1202,Flat,3,Edappally,1,6
"2 BHK Flat for Rent in Sowparnika Atrium, Edappally, Kochi",32000,Furnished,2,Bachelors/Family,,Flat,2,Edappally,7,9
3 BHK House for Rent in Kakkanad Kochi,45000,Furnished,4,Bachelors,1550,House,3,Kakkanad,2,2
"3 BHK Flat for Rent in DLF Riverside, Vyttila, Kochi",64000,Furnished,3,Bachelors,,Flat,3,Vyttila,9,12
"3 BHK Villa for Rent in Green Casa, Kakkanad Kochi",30000,Furnished,3,Bachelors/Family,,Villa,3,Kakkanad,,
3 BHK House for Rent in Edappally Kochi,20000,Furnished,3,Bachelors/Family,,House,3,Edappally,,
"2 BHK Flat for Rent in Kakkanad, Kochi",32000,Furnished,2,Bachelors,,Flat,2,,5,13
"3 BHK Flat for Rent in Asten Campus Court, Kakkanad, Kochi",48000,Furnished,3,Bachelors/Family,,Flat,3,Kakkanad,5,23
2 BHK House for Rent in Edappally Kochi,28000,Furnished,2,Bachelors/Family,,House,2,Edappally,,
3 BHK Villa for Rent in Kakkanad Kochi,40000,Furnished,3,Bachelors/Family,,Villa,3,Kakkanad,,
2 BHK House for Rent in Vyttila Kochi,14000,Semi-Furnished,2,Bachelors/Family,650,House,2,Vyttila,,
"3 BHK Flat for Rent in Jewel Bay View, Vyttila, Kochi",25000,Semi-Furnished,3,Bachelors/Family,,Flat,3,Vyttila,4,10
"2 BHK Flat for Rent in Sowparnika Atrium, Edappally, Kochi",36000,Semi-Furnished,2,Bachelors/Family,,Flat,2,Edappally,1,9
"1 BHK Flat for Rent in Prestige Hillside Gateway, Kakkanad, Kochi",32000,Furnished,1,Bachelors,650,Flat,1,Kakkanad,1,26
2 BHK House for Rent in Kakkanad Kochi,25000,Furnished,2,Bachelors/Family,1000,House,2,Kakkanad,,
3 BHK Villa for Rent in Kakkanad Ernakulam,22000,Semi-Furnished,3,Bachelors/Family,1900,Villa,3,,,
"3 BHK Flat for Rent in Mystic Heights Phase I, Vyttila, Kochi",22000,Furnished,3,Family,1480,Flat,3,Vyttila,1,18
"1 BHK Flat for Rent in Kakkanad, Kochi",15000,Semi-Furnished,1,Bachelors/Family,750,Flat,1,,1,4
"3 BHK Flat for Rent in Kakkanad, Kochi",38000,Furnished,3,Bachelors/Family,,Flat,3,,16,20
4 BHK House for Rent in Edappally Kochi,80000,Semi-Furnished,4,Bachelors/Family,,House,4,Edappally,,
"2 BHK Flat for Rent in DD Diamond Valley, Kakkanad, Kochi",24000,Semi-Furnished,2,Bachelors,970,Flat,2,Kakkanad,10,17
"2 BHK Flat for Rent in Kakkanad, Kochi",15000,Furnished,1,Bachelors/Family,700,Flat,2,,0,2
2 BHK Villa for Rent in Kakkanad Kochi,2750,Semi-Furnished,2,Bachelors/Family,1010,Villa,2,Kakkanad,,
2 BHK House for Rent in Vyttila Kochi,50000,Furnished,2,Bachelors/Family,,House,2,Vyttila,1,3
"3 BHK Flat for Rent in Edappally, Kochi",16500,Unfurnished,3,Bachelors/Family,1150,Flat,3,,2,2
"1 BHK Flat for Rent in Edappally, Kochi",18000,Unfurnished,1,Bachelors,600,Flat,1,,1,3
"2 BHK Flat for Rent in Edappally, Kochi",18000,Furnished,2,Bachelors/Family,,Flat,2,,1,3
"3 BHK Flat for Rent in Confident Cygnus III, Kakkanad, Kochi",13000,Semi-Furnished,2,Family,972,Flat,3,Kakkanad,2,8
3 BHK Builder Floor for Rent in Vyttila Kochi,22000,Unfurnished,2,Bachelors/Family,,Builder Floor,3,Vyttila,2,4
"2 BHK Apartment for Rent in Kent Mahal, Kakkanad Kochi",27000,Furnished,2,Bachelors,1055,Apartment,2,Kakkanad,19,19
"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi",11600,Semi-Furnished,1,Bachelors/Family,,Apartment,1,Kakkanad,1,3
"3 BHK Apartment for Rent in Confident Pride, Edappally Kochi",32000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Edappally,9,19
3 BHK Apartment for Rent in Kakkanad Kochi,19000,Furnished,4,Bachelors,,Apartment,3,Kakkanad,9,20
"3 BHK Apartment for Rent in Bhagheeratha VC Valley, Kakkanad Kochi",25000,Semi-Furnished,3,Bachelors/Family,1670,Apartment,3,Kakkanad,6,11
1 BHK Apartment for Rent in Edappally Kochi,18000,Furnished,1,Bachelors,750,Apartment,1,Edappally,1,3
"2 BHK Apartment for Rent in Kalpaka Vrindavan Ponekara, Edappally Kochi",28000,Semi-Furnished,2,Bachelors,700,Apartment,2,Edappally,2,6
"2 BHK Apartment for Rent in Nucleus Rhyme, Edappally Kochi",38000,Unfurnished,2,Bachelors,987,Apartment,2,Edappally,5,8
2 BHK House for Rent in Kakkanad Kochi,11000,Semi-Furnished,1,Bachelors/Family,,House,2,Kakkanad,1,1
"3 BHK Apartment for Rent in Happy Homes Bhishma, Kakkanad Kochi",23000,Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,5,7
2 BHK Apartment for Rent in Edappally Kochi,20000,Furnished,2,Bachelors/Family,850,Apartment,2,Edappally,0,2
"3 BHK Apartment for Rent in GRTL Gardenia, Edappally Kochi",20000,Unfurnished,3,Bachelors/Family,1570,Apartment,3,Edappally,1,1
"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",18000,Semi-Furnished,2,Bachelors/Family,,Apartment,2,Kakkanad,8,22
"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",20000,Semi-Furnished,3,Bachelors/Family,1691,Apartment,3,Kakkanad,0,12
4 BHK House for Rent in Edappally Kochi,45000,Furnished,5,Bachelors,,House,4,Edappally,0,1
"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",35000,Furnished,3,Bachelors/Family,1200,Apartment,2,Kakkanad,4,7
"3 BHK Apartment for Rent in Green Vistas Prakrriti, Kakkanad Kochi",30000,Semi-Furnished,3,Family,1600,Apartment,3,Kakkanad,2,14
3 BHK House for Rent in Vyttila Kochi,22500,Semi-Furnished,2,Bachelors,1200,House,3,Vyttila,,
"1 BHK Apartment for Rent in Platinum Crown Unichira, Edappally Kochi",16000,Furnished,1,Bachelors/Family,750,Apartment,1,Edappally,4,5
3 BHK Apartment for Rent in Vyttila Kochi,20000,Unfurnished,3,Bachelors/Family,1500,Apartment,3,Vyttila,12,18
1 BHK Apartment for Rent in Edappally Kochi,13000,Semi-Furnished,1,Bachelors,,Apartment,1,Edappally,2,2
"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi",55000,Furnished,4,Bachelors,,Apartment,3,Kakkanad,7,10
1 BHK House for Rent in Kakkanad Kochi,15000,Unfurnished,2,Bachelors/Family,650,House,1,Kakkanad,1,1
2 BHK Builder Floor for Rent in Kakkanad Kochi,16500,Semi-Furnished,2,Bachelors,,Builder Floor,2,Kakkanad,1,3
3 BHK Apartment for Rent in Kakkanad Kochi,35000,Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,22,25
2 BHK House for Rent in Edappally Kochi,25000,Semi-Furnished,2,Bachelors,700,House,2,Edappally,1,2
