Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)	India VIX	STT rate	Avg Share price	Trading Volume 
07-Mar-13	5801.3	5878	5801.3	5863.3	134679762	5676.89	13.07	0.05	5839.65	0.972128467
08-Mar-13	5883.65	5952.85	5883	5945.7	150781148	6214.19	13.34	0.05	5917.925	1.050062311
11-Mar-13	5946.1	5971.2	5930.35	5942.35	125384918	5688.38	14.25	0.05	5950.775	0.955905743
12-Mar-13	5944.6	5952	5893.65	5914.1	115944389	5098.38	15.13	0.05	5922.825	0.860802067
13-Mar-13	5884.8	5893.85	5842.25	5851.2	116710808	4950.09	16.2	0.05	5868.05	0.843566432
14-Mar-13	5845.95	5920.15	5791.75	5908.95	149008437	7204.09	14.66	0.05	5855.95	1.23021713
15-Mar-13	5914.9	5945.65	5861	5872.6	152156666	6984.19	15.16	0.05	5903.325	1.183094273
18-Mar-13	5816.75	5850.2	5814.35	5835.25	102663402	4690.01	15.85	0.05	5832.275	0.80414761
19-Mar-13	5859.5	5863.6	5724.3	5745.95	182311867	8255.03	16.71	0.05	5793.95	1.424767214
20-Mar-13	5740.55	5745.3	5682.3	5694.4	187624850	7103.68	16.66	0.05	5713.8	1.243249676
21-Mar-13	5705.9	5757.75	5647.95	5658.75	179177573	7053.93	16.51	0.05	5702.85	1.236913122
22-Mar-13	5659.8	5691.45	5631.8	5651.35	165293291	5909.38	15.54	0.05	5661.625	1.043760404
25-Mar-13	5707.3	5718.4	5624.4	5633.85	150388821	5683.44	16.36	0.05	5671.4	1.002122933
26-Mar-13	5613.75	5655.3	5612.05	5641.6	126500524	4939.19	15.8	0.05	5633.675	0.876726116
28-Mar-13	5647.75	5692.95	5604.85	5682.55	209658945	8372.35	15.22	0.05	5648.9	1.482120413
01-Apr-13	5697.35	5720.95	5675.9	5704.4	97779717	3683.38	14.85	0.05	5698.425	0.646385624
02-Apr-13	5701.7	5754.6	5687.15	5748.1	106423845	4262.15	14.1	0.05	5720.875	0.745017152
03-Apr-13	5740.2	5744.95	5650.1	5672.9	140713330	5313.95	14.87	0.05	5697.525	0.932676908
04-Apr-13	5640.65	5644.45	5565.65	5574.75	134586976	5000.44	15.85	0.05	5605.05	0.892131203
05-Apr-13	5568.1	5577.3	5534.7	5553.25	137461477	5281.57	16.16	0.05	5556	0.950606551
08-Apr-13	5550.5	5569.2	5537.05	5542.95	97021471	3673.21	16.77	0.05	5553.125	0.661467192
09-Apr-13	5568.75	5603.05	5487	5495.1	138184712	5485.91	16.82	0.05	5545.025	0.989339092
10-Apr-13	5536.25	5569.25	5477.2	5558.7	128558760	5387.08	16.49	0.05	5523.225	0.975350452
11-Apr-13	5601.65	5610.65	5542.85	5594	146828501	6469.38	16.97	0.05	5576.75	1.160062761
12-Apr-13	5520.7	5544.5	5494.9	5528.55	127323273	7447.27	16.45	0.05	5519.7	1.349216443
15-Apr-13	5508.5	5592.85	5500.3	5568.4	142918219	7133.92	16.61	0.05	5546.575	1.286184718
16-Apr-13	5562.45	5699.25	5555.85	5688.95	142679244	5943.06	16.25	0.05	5627.55	1.05606525
17-Apr-13	5708.65	5732.15	5669	5688.7	154575403	7304.1	16.36	0.05	5700.575	1.2812918
